Tracing lock events... Hit Ctrl-C to end.

                                  Caller                                  Process        PID   Avg Spin  Count   Max spin Total spin
                       b'dup_mmap+0x413'                              b'watchdog'       1356       2223  10302      15829   22901412
            b'kernfs_create_dir_ns+0x53'                            b'(ostnamed)'      16061      12496      2      15674      24992
                  b'kernfs_add_one+0xe2'                               b'dockerd'       4655       1283    336      15639     431371
                    b'lookup_fast+0x281'                               b'systemd'          1        526   8657      15520    4556615
                   b'ext4_symlink+0x28f'                               b'dockerd'       4655       1397    234      15494     327051
                    b'lookup_fast+0x281'                               b'systemd'          1        529  49272      15453   26084225
                  b'proc_task_name+0x45'                              b'collectl'      15015        731   4274      15274    3125115
                b'inode_permission+0xe7'                               b'systemd'          1        515  35138      15164   18113559
                    b'lookup_fast+0x281'                         b'runc:[2:INIT]'       6849       2231     11      14949      24549
                   b'do_vfs_ioctl+0x407'                                  b'bash'       5818       1963    216      14911     424158
                      b'ksys_lseek+0x1d'                               b'python3'       6849       1451   2035      14703    2954479
                          b'__fput+0xcc'                                  b'sshd'       6899       1551   3355      14688    5204898
                    b'lookup_fast+0x281'                               b'systemd'          1       2404     22      14636      52901
                           b'mmput+0x27'                          b'50-motd-news'      16658       1419   6161      14523    8747185
                  b'kernfs_add_one+0xe2'                               b'dockerd'       4655       2767     14      14348      38749
                b'inode_permission+0xe7'                         b'runc:[2:INIT]'       6849      14307      1      14307      14307
               b'ext4_evict_inode+0x30b'                                  b'dpkg'      14175        655   4264      14295    2795646
                   b'shmem_symlink+0x65'                               b'systemd'          1       1017    488      14078     496374
                   b'ext4_setattr+0x7fe'                                  b'dpkg'      14175       1115   3605      13955    4020052
        b'kernfs_remove_by_name_ns+0x55'                               b'systemd'          1       1135    962      13944    1092542
                    b'lookup_fast+0x281'                         b'runc:[2:INIT]'       6849       2338     35      13932      81859
            b'__kernfs_create_file+0x7f'                               b'dockerd'       4655       2202    336      13573     739888
                b'inode_permission+0xe7'                         b'runc:[2:INIT]'       6849       2339     34      13509      79547
             b'ep_item_poll.isra.0+0xa2'                               b'systemd'          1       1297    541      13482     701978
                b'inode_permission+0xe7'                         b'runc:[2:INIT]'       6849       1578     34      13376      53655
                  b'kernfs_add_one+0xe2'                            b'(ostnamed)'      16061      12064      2      13365      24128
                    b'ext4_unlink+0x36c'                               b'apt-get'       8821        729   5261      13156    3838274
            b'cpu_shares_write_u64+0x2b'                               b'systemd'          1        537   7982      13139    4291586
                    b'ext4_sync_fs+0x50'                               b'dockerd'       4655       3537     30      12982     106126
            b'__kernfs_create_file+0x7f'                               b'dockerd'       4655       1762     70      12869     123381
             b'unix_stream_recvmsg+0x51'                               b'systemd'          1       1301   4017      12722    5229394
                    b'lookup_fast+0x281'                               b'systemd'          1        525   8477      12695    4455873
                           b'evict+0xd2'                       b'systemd-network'       1240       2098    393      12564     824808
                b'inode_permission+0xe7'                            b'(ostnamed)'      16061       1333     15      12488      20004
                b'netlink_unicast+0x187'                                  b'sudo'       6508       1968    196      12432     385850
                   b'lookup_dcache+0x46'                               b'systemd'          1       1169    137      12250     160267
                           b'evict+0xd2'                         b'systemd-udevd'        723       1490    450      12081     670925
     b'__x64_sys_inotify_add_watch+0xe8'                               b'systemd'          1        530   9508      11823    5042372
             b'oom_score_adj_write+0xcc'                         b'systemd-udevd'      16354       3456    129      11683     445836
                b'kernfs_xattr_set+0x2a'                               b'systemd'          1        554   8657      11682    4798143
            b'__kernfs_create_file+0x7f'                               b'dockerd'       4655       1421    406      11609     576957
               b'__sync_filesystem+0x1b'                               b'dockerd'       4655       2715     30      11480      81468
                b'inode_permission+0xe7'                               b'systemd'          1       3680     17      11438      62575
               b'ep_eventpoll_poll+0x61'                        b'NetworkManager'      16054       2359    996      11326    2349819
              b'cpuset_post_attach+0x15'                               b'systemd'          1        546  21014      11306   11490092
                     b'__vfs_write+0x1b'                               b'systemd'          1        556  73567      10999   40924471
               b'cgroup_file_write+0x91'                               b'systemd'          1        530  11235      10974    5965777
                b'inode_permission+0xe7'                               b'systemd'          1       2428     25      10919      60710
                    b'cgroup_mkdir+0x3e'                               b'systemd'          1        821    197      10800     161842
                b'inode_permission+0xe7'                         b'runc:[2:INIT]'       6849        951     67      10307      63775
                    b'lookup_fast+0x281'                                  b'http'       8825       1364     23      10249      31390
                  b'kernfs_add_one+0xe2'                               b'dockerd'       4655       4491     14      10191      62878
                b'inode_permission+0xe7'                         b'runc:[2:INIT]'       6849       2305     12      10187      27665
                  b'kernfs_add_one+0xe2'                               b'dockerd'       4655       3290     14      10174      46072
     b'cgroup1_pidlist_destroy_all+0x7f'                          b'kworker/19:1'        282       1290     55      10120      70969
b'__cgroup1_procs_write.constprop.0+0x2d'                               b'systemd'          1        537  21014       9918   11287459
                    b'lookup_fast+0x281'                            b'(ostnamed)'      16061       1170     14       9661      16381
                    b'lookup_fast+0x281'                               b'systemd'          1        517  35103       9546   18168997
              b'kernfs_create_link+0x62'                               b'dockerd'       4655       2920     14       9500      40881
                  b'kernfs_add_one+0xe2'                               b'dockerd'       4655       2090     14       9360      29268
                        b'seq_read+0xb7'                               b'dockerd'       4655       1085    130       9072     141122
              b'kernfs_create_link+0x62'                               b'dockerd'       4655       3146     14       9024      44051
                    b'lookup_fast+0x281'                               b'systemd'          1       3065     14       8994      42915
                  b'ext4_truncate+0x376'                       b'systemd-journal'        679        983   1058       8947    1040461
                  b'kernfs_add_one+0xe2'                               b'dockerd'       4655       3588     14       8727      50235
                  b'kernfs_add_one+0xe2'                               b'dockerd'       4655       1556     28       8670      43572
              b'kernfs_create_link+0x62'                               b'dockerd'       4655       3040     14       8657      42560
                    b'lookup_open+0x1ba'                         b'systemd-udevd'      15994       8499      1       8499       8499
                  b'kernfs_add_one+0xe2'                               b'dockerd'       4655       2936     14       8433      41115
                   b'__lookup_slow+0x92'                         b'systemd-udevd'      15945       8336      1       8336       8336
                  b'kernfs_add_one+0xe2'                               b'dockerd'       4655       1746     14       8190      24451
                  b'kernfs_add_one+0xe2'                               b'dockerd'       4655       1684     70       8033     117914
               b'ext4_evict_inode+0x30b'                               b'dockerd'       4655       1127    608       7989     685377
                    b'lookup_fast+0x281'                               b'systemd'          1        524  26586       7953   13939754
                  b'kernfs_add_one+0xe2'                               b'dockerd'       4655       1886     14       7602      26407
              b'kernfs_create_link+0x62'                               b'dockerd'       4655       2534     14       7599      35476
           b'key_create_or_update+0x2d3'                            b'(otd-news)'      16644       1872     17       7579      31827
            b'kernfs_create_dir_ns+0x53'                            b'(ostnamed)'      16061       5119      2       7535      10238
                    b'lookup_fast+0x281'                         b'systemd-udevd'      15933       4077      2       7400       8155
                           b'evict+0xd2'                       b'systemd-resolve'       1097       1728    237       7318     409556
                    b'ext4_unlink+0x36c'                               b'dockerd'       4655       1176   1268       7239    1491782
            b'kernfs_create_dir_ns+0x53'                               b'dockerd'       4655       1586     14       7202      22217
                 b'proc_reg_llseek+0x44'                              b'collectl'      15015       1571   1724       6865    2708871
          b'proc_sys_call_handler+0x1a2'                                b'sysctl'       6967        683     68       6751      46505
                   b'kobject_uevent+0xb'                          b'kworker/20:2'        409       1215    704       6631     855555
            b'__kernfs_create_file+0x7f'                               b'dockerd'       4655       1617     56       6498      90571
